LV,Phrase
B2,draw attention to sb/sth
B2,engage in sth
B2,engaged in sth
B2,ever since(…)
B2,exposure to sth
B2,far from sth
B2,far from doing sth
B2,figure sb/sth out
B2,find yourself doing sth
B2,get in
B2,get into sth
B2,The train got in late.
B2,get over sth/sb
B2,You’ll get over it.
B2,get rid of sb/sth
B2,go off
B2,She went off to get a drink.
B2,A bomb went off.
B2,The alarm went off.
B2,The lights went off.
B2,go on to do sth
B2,go through sth
B2,had better
B2,hang on
B2,human being
B2,human rights
B2,if only…
B2,I have to say…
B2,in action
B2,in advance
B2,in an attempt to do sth
B2,in a way that…
B2,in part
B2,in place
B2,in relation to sb/sth
B2,in spite of sth
B2,in the first place
B2,in the near future
B2,in turn
B2,investment in sth
B2,I would say...
B2,loads of sb/sth
B2,mental health
B2,more or less
B2,no doubt
B2,no matter…
B2,no matter how…
B2,no matter what…
B2,nothing but
B2,on board
B2,once again
B2,one another
B2,on the basis of sth
B2,on the one hand
B2,opposed to sth
B2,or so
B2,other than
B2,potential for sth
B2,pretty much
B2,prior to
B2,prove to be sth
B2,put sth forward
B2,put sth together
B2,quality of life
B2,ranging from
B2,prices ranging from €25 to €60
B2,regarded as sth
B2,relevant to sb/sth
B2,rely on sb/sth
B2,role model
B2,set out
B2,short of sth
B2,so as to do sth
B2,something like…
B2,sort sb/sth/yourself out
B2,stick to sth
B2,subject to sth
B2,take advantage of sb/sth
B2,take sth into account
B2,take over
B2,take over from sb
B2,that is
B2,the vast majority of sth
B2,turn into sth
B2,up to sb
B2,when it comes to sth
B2,when it comes to doing sth
B2,whether or not…
B2,would rather…
C1,above all
C1,all but
C1,all the more
C1,as far as sb/sth is concerned
C1,as of…
C1,as opposed to
C1,as such
C1,as to sth
C1,as to how…
C1,as to whether…
C1,at the expense of sb/sth
C1,at the hands of sb
C1,back and forth
C1,bear sb/sth in mind
C1,bear in mind that…
C1,keep sb/sth in mind
C1,keep in mind that…
C1,be attributed to sb
C1,be entitled to sth
C1,be found to do sth
C1,be meant to do sth
C1,be reported to be sth
C1,be reported to have sth
C1,be said to be sth
C1,be said to have sth
C1,bring sth about
C1,bring sth up
C1,by means of sth
C1,by no means
C1,call on sb
C1,call on sb to do sth
C1,consistent with sth
C1,dedicated to sth
C1,deprive sb/sth of sth
C1,dispose of sb/sth
C1,follow sth up
C1,for that matter
C1,for the benefit of sb
C1,for the sake of sb/sth
C1,get away with sth
C1,given that…
C1,have sb/sth in mind
C1,have sb/sth in mind for sth
C1,have nothing to do with sb/sth
C1,be nothing to do with sb/sth
C1,in accordance with sth
C1,in any case
C1,in a position to do sth
C1,in conjunction with sb/sth
C1,in connection with sb/sth
C1,in effect
C1,in full
C1,in line with sth
C1,in practice
C1,in respect of sth
C1,in such a way (that)…
C1,in the absence of sb/sth
C1,in the course of…
C1,in the event of sth
C1,in the face of sth
C1,in the hands of sb
C1,in the light of sth
